company,ticker,link,type
Canada Goose Holdings Inc.,GOOS,https://www.wikipedia.org/wiki/Canada_Goose_(clothing),public
Canadian Imperial Bank of Commerce,CM,https://www.wikipedia.org/wiki/Canadian_Imperial_Bank_of_Commerce,public
Canadian National Railway,CNI,https://www.wikipedia.org/wiki/Canadian_National_Railway,public
Canadian Natural Resources,CNQ,https://www.wikipedia.org/wiki/Canadian_Natural_Resources,public
Canadian Pacific Railway,CP,https://www.wikipedia.org/wiki/Canadian_Pacific_Railway,public
Canon Inc.,CAJ,https://www.wikipedia.org/wiki/Canon_Inc.,public
Canopy Growth Corporation,CGC,https://www.wikipedia.org/wiki/Canopy_Growth_Corporation,
Cantel Medical Corporation,CMN,https://www.wikipedia.org/wiki/Cantel_Medical_Corporation,
Capital One,COF,https://www.wikipedia.org/wiki/Capital_One,public
Capital Senior Living,CSU,https://www.wikipedia.org/wiki/Capital_Senior_Living,
Cardinal Health,CAH,https://www.wikipedia.org/wiki/Cardinal_Health,public
Care.com,CRCM,https://www.wikipedia.org/wiki/Care.com,
CareFusion,CFN,https://www.wikipedia.org/wiki/CareFusion,
Carlisle Companies,CSL,https://www.wikipedia.org/wiki/Carlisle_Companies,public
CarMax,KMX,https://www.wikipedia.org/wiki/CarMax,public
Carnival Corporation & plc,CCL,https://www.wikipedia.org/wiki/Carnival_Corporation_%26_plc,public
Carnival Corporation & plc,CUK,https://www.wikipedia.org/wiki/Carnival_Corporation_%26_plc,public
Carpenter Technology Corporation,CRS,https://www.wikipedia.org/wiki/Carpenter_Technology_Corporation,public
"Carter's, Inc.",CRI,"https://www.wikipedia.org/wiki/Carter%27s,_Inc.",public
Cash America International,CSH,https://www.wikipedia.org/wiki/Cash_America_International,public
Castlight Health,CSLT,https://www.wikipedia.org/wiki/Castlight_Health,public
Caterpillar Inc.,CAT,https://www.wikipedia.org/wiki/Caterpillar_Inc.,public
Cato Corporation,CATO,https://www.wikipedia.org/wiki/Cato_Corporation,
CBL & Associates Properties,CBL,https://www.wikipedia.org/wiki/CBL_%26_Associates_Properties,public
CBRE Group,CBG,https://www.wikipedia.org/wiki/CBRE_Group,public
CDI Corporation,CDI,https://www.wikipedia.org/wiki/CDI_Corporation,
Cedar Fair,FUN,https://www.wikipedia.org/wiki/Cedar_Fair,public
Celadon Group,CGI,https://www.wikipedia.org/wiki/Celadon_Group,public
Celanese,CE,https://www.wikipedia.org/wiki/Celanese,public
Celestica,CLS,https://www.wikipedia.org/wiki/Celestica,public
"Cellcom Israel, Ltd.",CEL,https://www.wikipedia.org/wiki/Cellcom_(Israel),public
Cementos Pacasmayo,CPAC,https://www.wikipedia.org/wiki/Cementos_Pacasmayo,public
Cemex,CX,https://www.wikipedia.org/wiki/Cemex,
Cencosud,CNCO,https://www.wikipedia.org/wiki/Cencosud,
Cenovus Energy,CVE,https://www.wikipedia.org/wiki/Cenovus_Energy,public
Centene Corporation,CNC,https://www.wikipedia.org/wiki/Centene_Corporation,public
CenterPoint Energy,CNP,https://www.wikipedia.org/wiki/CenterPoint_Energy,public
Eletrobras,EBR,https://www.wikipedia.org/wiki/Eletrobras,
Central Pacific Bank,CPF,https://www.wikipedia.org/wiki/Central_Pacific_Bank,
CenturyLink,CTL,https://www.wikipedia.org/wiki/CenturyLink,public
Cenveo,CVO,https://www.wikipedia.org/wiki/Cenveo,
CF Industries,CF,https://www.wikipedia.org/wiki/CF_Industries,public
CGG,CGG,https://www.wikipedia.org/wiki/CGG_(company),
CGI Group,GIB,https://www.wikipedia.org/wiki/CGI_Group,public
Charles River Laboratories,CRL,https://www.wikipedia.org/wiki/Charles_River_Laboratories,public
Charles Schwab Corporation,SCHW,https://www.wikipedia.org/wiki/Charles_Schwab_Corporation,public
CHC Helicopter,HELI,https://www.wikipedia.org/wiki/CHC_Helicopter,
Checkpoint Systems,CKP,https://www.wikipedia.org/wiki/Checkpoint_Systems,public
Cheetah Mobile,CMCM,https://www.wikipedia.org/wiki/Cheetah_Mobile,public
Chegg,CHGG,https://www.wikipedia.org/wiki/Chegg,public
Chemtura,CHMT,https://www.wikipedia.org/wiki/Chemtura,
Chesapeake Energy,CHK,https://www.wikipedia.org/wiki/Chesapeake_Energy,public
Chesapeake Utilities,CPK,https://www.wikipedia.org/wiki/Chesapeake_Utilities,public
Chevron Corporation,CVX,https://www.wikipedia.org/wiki/Chevron_Corporation,public
Chicago Bridge & Iron Company,CBI,https://www.wikipedia.org/wiki/Chicago_Bridge_%26_Iron_Company,
"Chico's FAS, Inc.",CHS,https://www.wikipedia.org/wiki/Chico%27s_(clothing_retailer),
China Eastern Airlines,CEA,https://www.wikipedia.org/wiki/China_Eastern_Airlines,
China Green Agriculture,CGA,https://www.wikipedia.org/wiki/China_Green_Agriculture,
China Life Insurance Company,LFC,https://www.wikipedia.org/wiki/China_Life_Insurance_Company,public
Mingyang Wind Power,MY,https://www.wikipedia.org/wiki/Mingyang_Wind_Power,public
China Mobile,CHL,https://www.wikipedia.org/wiki/China_Mobile,public
China Nepstar,NPD,https://www.wikipedia.org/wiki/China_Nepstar,
Sinopec,SNP,https://www.wikipedia.org/wiki/Sinopec,public
China Southern Airlines,ZNH,https://www.wikipedia.org/wiki/China_Southern_Airlines,
China Telecom,CHA,https://www.wikipedia.org/wiki/China_Telecom,public
China Unicom,CHU,https://www.wikipedia.org/wiki/China_Unicom,
China Yuchai International,CYD,https://www.wikipedia.org/wiki/China_Yuchai_International,public
Chipotle Mexican Grill,CMG,https://www.wikipedia.org/wiki/Chipotle_Mexican_Grill,public
Chiquita Brands International,CQB,https://www.wikipedia.org/wiki/Chiquita_Brands_International,
Choice Hotels,CHH,https://www.wikipedia.org/wiki/Choice_Hotels,public
Christopher & Banks,CBK,https://www.wikipedia.org/wiki/Christopher_%26_Banks,
Chubb Corp.,CB,https://www.wikipedia.org/wiki/Chubb_Corp.,public
Chunghwa Telecom,CHT,https://www.wikipedia.org/wiki/Chunghwa_Telecom,public
Church & Dwight,CHD,https://www.wikipedia.org/wiki/Church_%26_Dwight,public
Ciena,CIEN,https://www.wikipedia.org/wiki/Ciena,public
Cigna,CI,https://www.wikipedia.org/wiki/Cigna,public
Cincinnati Bell,CBB,https://www.wikipedia.org/wiki/Cincinnati_Bell,
Cinemark Theatres,CNK,https://www.wikipedia.org/wiki/Cinemark_Theatres,public
Citigroup,C,https://www.wikipedia.org/wiki/Citigroup,public
City National Corporation,CYN,https://www.wikipedia.org/wiki/City_National_Bank_(California),
Civeo Corporation,CVEO,https://www.wikipedia.org/wiki/Civeo_Corporation,public
Clarcor,CLC,https://www.wikipedia.org/wiki/Clarcor,public
Clean Harbors,CLH,https://www.wikipedia.org/wiki/Clean_Harbors,public
Clear Channel Outdoor,CCO,https://www.wikipedia.org/wiki/Clear_Channel_Outdoor,public
Clearwater Paper,CLW,https://www.wikipedia.org/wiki/Clearwater_Paper,public
CLECO,CNL,https://www.wikipedia.org/wiki/CLECO,
Cleveland-Cliffs,CLF,https://www.wikipedia.org/wiki/Cleveland-Cliffs,public
Clorox,CLX,https://www.wikipedia.org/wiki/Clorox,public
Cloud Peak Energy,CLD,https://www.wikipedia.org/wiki/Cloud_Peak_Energy,
ClubCorp,MYCC,https://www.wikipedia.org/wiki/ClubCorp,
CMS Energy,CMS,https://www.wikipedia.org/wiki/CMS_Energy,public
CNA Financial,CNA,https://www.wikipedia.org/wiki/CNA_Financial,
CNH Industrial,CNHI,https://www.wikipedia.org/wiki/CNH_Industrial,
CNO Financial Group,CNO,https://www.wikipedia.org/wiki/CNO_Financial_Group,public
CNOOC Limited,CEO,https://www.wikipedia.org/wiki/CNOOC_Limited,public
"Coach, Inc.",COH,"https://www.wikipedia.org/wiki/Coach,_Inc.",public
Cobalt International Energy,CIE,https://www.wikipedia.org/wiki/Cobalt_International_Energy,public
The Coca-Cola Company,KO,https://www.wikipedia.org/wiki/The_Coca-Cola_Company,public
Coca-Cola Enterprises,CCE,https://www.wikipedia.org/wiki/Coca-Cola_Enterprises,
"Coca-Cola FEMSA, S.A.B. De C.V.",KOF,https://www.wikipedia.org/wiki/FEMSA,
Coeur Mining,CDE,https://www.wikipedia.org/wiki/Coeur_Mining,public
"Cohen & Steers, Inc.",CNS,https://www.wikipedia.org/wiki/Cohen_%26_Steers,public
Colfax Corporation,CFX,https://www.wikipedia.org/wiki/Colfax_Corporation,public
Colgate-Palmolive,CL,https://www.wikipedia.org/wiki/Colgate-Palmolive,public
Comcast,CCV,https://www.wikipedia.org/wiki/Comcast,public
Comerica,CMA,https://www.wikipedia.org/wiki/Comerica,public
Comfort Systems USA,FIX,https://www.wikipedia.org/wiki/Comfort_Systems_USA,
Commercial Metals Company,CMC,https://www.wikipedia.org/wiki/Commercial_Metals_Company,public
"Community Bank, N.A.",CBU,"https://www.wikipedia.org/wiki/Community_Bank,_N.A.",
Community Health Systems,CYH,https://www.wikipedia.org/wiki/Community_Health_Systems,
Companhia Brasileira de Distribuição,CBD,https://www.wikipedia.org/wiki/GPA_(company),public
Sabesp,SBS,https://www.wikipedia.org/wiki/Sabesp,
CEMIG,CIG,https://www.wikipedia.org/wiki/CEMIG,
Copel,ELP,https://www.wikipedia.org/wiki/Copel,
Companhia Siderúrgica Nacional,SID,https://www.wikipedia.org/wiki/Companhia_Sider%C3%BArgica_Nacional,
Compass Minerals,CMP,https://www.wikipedia.org/wiki/Compass_Minerals,public
Compañia de Minas Buenaventura SA,BVN,https://www.wikipedia.org/wiki/Buenaventura_(mining_company),
